日期,开盘价,收盘价,最高价,最低价,成交量(手),成交额(元),振幅(%),涨跌幅(%),涨跌额,换手率(%)
2023-12-13,156.29,153.09,157.33,152.45,252594,4045085653.0,3.1,-2.72,-4.28,0.65
2023-12-14,154.62,150.37,155.23,150.18,227514,3596263195.0,3.3,-1.78,-2.72,0.58
2023-12-15,150.94,148.74,152.42,148.34,202046,3158101585.0,2.71,-1.08,-1.63,0.52
2023-12-18,146.85,140.71,147.43,140.02,429129,6398809829.0,4.98,-5.4,-8.03,1.1
2023-12-19,140.05,142.74,143.72,140.01,251852,3734066912.0,2.64,1.44,2.03,0.65
2023-12-20,142.94,142.19,144.94,142.06,212494,3174602188.0,2.02,-0.39,-0.55,0.55
2023-12-21,141.31,148.13,149.07,141.31,421315,6433383992.0,5.46,4.18,5.94,1.08
2023-12-22,147.24,150.03,152.15,145.94,280321,4359921761.0,4.19,1.28,1.9,0.72
2023-12-25,149.24,151.28,151.62,148.54,130056,2036117775.0,2.05,0.83,1.25,0.33
2023-12-26,150.71,149.87,151.24,148.48,127673,1994477782.0,1.82,-0.93,-1.41,0.33
2023-12-27,151.27,148.07,151.74,147.61,173565,2686313989.0,2.76,-1.2,-1.8,0.45
2023-12-28,147.96,156.73,156.9,147.31,378502,6079407754.0,6.48,5.85,8.66,0.97
2023-12-29,157.72,157.0,158.74,155.74,226838,3707101874.0,1.91,0.17,0.27,0.58
2024-01-02,155.96,150.57,156.27,150.36,214033,3390080350.0,3.76,-4.1,-6.43,0.55
2024-01-03,149.84,149.54,151.02,148.14,197576,3070016674.0,1.91,-0.68,-1.03,0.51
2024-01-04,149.24,144.94,149.46,143.51,272418,4114835334.0,3.98,-3.08,-4.6,0.7
2024-01-05,144.73,144.64,148.47,143.23,210353,3195235676.0,3.62,-0.21,-0.3,0.54
2024-01-08,143.94,143.74,147.13,142.82,193854,2926528361.0,2.98,-0.62,-0.9,0.5
2024-01-09,143.7,142.44,145.11,139.49,233916,3473507460.0,3.91,-0.9,-1.3,0.6
2024-01-10,140.68,144.4,146.85,140.29,232120,3500326619.0,4.61,1.38,1.96,0.6
2024-01-11,144.4,148.56,151.51,142.25,328018,5037065544.0,6.41,2.88,4.16,0.84
2024-01-12,147.74,148.37,151.07,145.94,254622,3943737150.0,3.45,-0.13,-0.19,0.65
2024-01-15,147.24,145.44,147.44,143.09,172722,2618158007.0,2.93,-1.97,-2.93,0.44
2024-01-16,145.4,150.69,150.99,144.3,284693,4421625828.0,4.6,3.61,5.25,0.73
2024-01-17,150.6,145.98,150.6,145.49,217615,3343384131.0,3.39,-3.13,-4.71,0.56
2024-01-18,143.84,148.35,148.94,143.75,307788,4688436698.0,3.56,1.62,2.37,0.79
2024-01-19,147.54,148.64,151.63,147.14,265949,4136034233.0,3.03,0.2,0.29,0.68
2024-01-22,147.24,149.4,153.69,144.39,404888,6323471152.0,6.26,0.51,0.76,1.04
2024-01-23,148.74,147.65,152.54,146.93,323059,5033058276.0,3.76,-1.17,-1.75,0.83
